area,building,building_floors,chamber,construction_year,floor,market,price,standard,url
91.0,apartamentowiec,5.0,4,,3.0,pierwotny,499500.0,,https://www.otodom.pl/oferta/4pok-z-naroznym-tarasem-przy-parku-slaskim-okazja-ID3WPSI.html#e679aec94f
46.61,,5.0,2,,2.0,pierwotny,258500.0,,https://www.otodom.pl/oferta/park-slaki-2pok-kameralny-budynek-0-prowizji-ID3WPSU.html#e679aec94f
72.0,apartamentowiec,5.0,3,,0.0,pierwotny,394200.0,,https://www.otodom.pl/oferta/3pok-z-ogrodem-oraz-tarasempark-slaskibezposrednio-ID3WPSA.html#e679aec94f
51.5,apartamentowiec,5.0,2,,0.0,pierwotny,277500.0,,https://www.otodom.pl/oferta/2pok-z-ogrodem-przy-parku-slaskimgotowe-w-tym-roku-ID3WPSM.html#e679aec94f
71.0,apartamentowiec,8.0,3,,0.0,wtórny,575000.0,do zamieszkania,https://www.otodom.pl/oferta/francuskapark-gotowy-apartament-z-ogrodemgwarancja-ID3WPTu.html#e679aec94f
96.3,apartamentowiec,2.0,4,2003.0,0.0,wtórny,660000.0,do zamieszkania,https://www.otodom.pl/oferta/apartament-z-wyposazeniem-os-ptasie-ID3WQy4.html#e679aec94f
40.66,apartamentowiec,8.0,2,2019.0,2.0,pierwotny,300884.0,,https://www.otodom.pl/oferta/0-atrakcyjne-mieszkanie-w-modnej-inwestycji-ID3WQKU.html#e679aec94f
70.7,apartamentowiec,7.0,3,2020.0,7.0,pierwotny,636300.0,do wykończenia,https://www.otodom.pl/oferta/srodmiescie-nowa-inwestycja-zaufany-deweloper-ID3WQ5G.html#e679aec94f
58.14,apartamentowiec,7.0,3,2020.0,1.0,pierwotny,465000.0,do wykończenia,https://www.otodom.pl/oferta/srodmiescie-nowa-inwestycja-zaufany-deweloper-ID3WPXV.html#e679aec94f
53.83,apartamentowiec,8.0,3,2019.0,1.0,pierwotny,384884.0,do wykończenia,https://www.otodom.pl/oferta/ostatnie-3-pok-mieszkanie-sprawdzony-deweloper-ID3WQ5S.html#e679aec94f
55.44,apartamentowiec,6.0,3,2020.0,3.0,pierwotny,498960.0,,https://www.otodom.pl/oferta/premiera-inwestycyjny-luksusowy-apartament-ID3WQKY.html#e679aec94f
56.0,blok,10.0,3,,0.0,wtórny,275000.0,do zamieszkania,https://www.otodom.pl/oferta/przestronne-mieszkanie-trzypokojowe-modrzewiowa-ID3WRlC.html#e679aec94f
71.0,apartamentowiec,3.0,3,2005.0,0.0,wtórny,700000.0,do zamieszkania,https://www.otodom.pl/oferta/os-ptasie-trzy-pokoje-kominek-dwa-garaze-taras-ID3Pv6A.html#e679aec94f
133.0,apartamentowiec,4.0,2,2009.0,4.0,wtórny,899000.0,do zamieszkania,https://www.otodom.pl/oferta/ekskluzywny-apartament-w-katowicach-ID3WSwy.html#e679aec94f
48.65,blok,8.0,2,,7.0,wtórny,225000.0,,https://www.otodom.pl/oferta/katowice-os-witosa-ul-rataja-48-65m2-balkon-ID3WTO8.html#e679aec94f
54.3,blok,4.0,2,1960.0,4.0,wtórny,269000.0,,https://www.otodom.pl/oferta/atrakcyjne-dwupokojowe-mieszkanie-z-wyposazeniem-ID3WU76.html#e679aec94f
36.93,apartamentowiec,7.0,2,2021.0,2.0,pierwotny,369300.0,do wykończenia,https://www.otodom.pl/oferta/apartament-w-centrum-katowice-ID3WURK.html#e679aec94f
36.05,apartamentowiec,10.0,2,2019.0,6.0,pierwotny,211987.0,do wykończenia,https://www.otodom.pl/oferta/mieszkanie-z-duza-sypialnia-na-bazantowie-ID3WWnV.html#e679aec94f
53.0,,10.0,3,1975.0,8.0,wtórny,269000.0,,https://www.otodom.pl/oferta/luksusowe-mieszkanie-w-swietnej-lokalizacji-ID3WUDV.html#e679aec94f
46.38,apartamentowiec,5.0,2,2019.0,2.0,pierwotny,282918.0,do wykończenia,https://www.otodom.pl/oferta/ustawne-2-pok-mieszkanie-u-zaufanego-dewelopera-ID3WWIo.html#e679aec94f
29.63,,7.0,1,2021.0,7.0,pierwotny,328522.0,,https://www.otodom.pl/oferta/okazja-nowa-kawalerka-z-tarasem-katowice-centrum-ID3WVBy.html#e679aec94f
63.98,,5.0,3,,5.0,wtórny,250000.0,do zamieszkania,https://www.otodom.pl/oferta/mieszkanie-63-98-m-katowice-ID3WVeE.html#e679aec94f
95.0,apartamentowiec,4.0,4,2010.0,3.0,wtórny,530000.0,do zamieszkania,https://www.otodom.pl/oferta/mieszkanie-4-pokoje-95m2-katowice-ligota-park-ID3WVks.html#e679aec94f
32.81,,7.0,1,2021.0,4.0,pierwotny,338728.0,,https://www.otodom.pl/oferta/okazja-nowe-mieszkanie-katowice-scisle-centrum-ID3WVBG.html#e679aec94f
70.24,apartamentowiec,5.0,3,2019.0,2.0,pierwotny,421440.0,do wykończenia,https://www.otodom.pl/oferta/narozne-mieszkanie-z-30m2-salonem-z-kuchnia-ID3WWIA.html#e679aec94f
34.11,apartamentowiec,7.0,2,2020.0,2.0,wtórny,334278.0,do wykończenia,https://www.otodom.pl/oferta/mieszkanie-34-11-m-katowice-ID3WXh6.html#e679aec94f
64.0,,4.0,3,1980.0,2.0,wtórny,250000.0,,https://www.otodom.pl/oferta/sprzedane-ID3WYEc.html#e679aec94f
49.84,,7.0,2,2021.0,6.0,pierwotny,463672.5,,https://www.otodom.pl/oferta/nowoczesne-1-pokojowe-mieszkanie-w-srodmiesciu-ID3WZ4A.html#e679aec94f
40.75,,7.0,1,2021.0,4.0,pierwotny,420825.0,,https://www.otodom.pl/oferta/1-pokojowe-mieszkanie-w-centrum-katowic-ID3WZ4E.html#e679aec94f
49.84,,7.0,2,2021.0,5.0,pierwotny,458688.0,,https://www.otodom.pl/oferta/2-pok-z-balkonem-w-srodmiesciu-ID3WZ4Q.html#e679aec94f
36.93,,7.0,2,2021.0,6.0,pierwotny,404528.0,,https://www.otodom.pl/oferta/dwupokojowe-w-apartamentowcu-w-srodmiesciu-ID3WZ4I.html#e679aec94f
34.46,,7.0,1,2021.0,5.0,pierwotny,370478.0,,https://www.otodom.pl/oferta/ustawne-1-pok-w-srodmiesciu-z-loggia-ID3WZ4U.html#e679aec94f
37.35,,7.0,1,2021.0,5.0,pierwotny,393620.0,,https://www.otodom.pl/oferta/1-pok-w-srodmiesciu-ul-opolska-ID3WZ56.html#e679aec94f
35.94,,7.0,1,2021.0,5.0,pierwotny,380648.0,,https://www.otodom.pl/oferta/studio-w-srodmiesciu-z-loggia-ul-opolska-ID3WZ4Y.html#e679aec94f
35.59,,7.0,1,2021.0,2.0,pierwotny,375435.0,,https://www.otodom.pl/oferta/funkcjonalne-studio-w-srodmiesciu-ul-opolska-ID3WZ5m.html#e679aec94f
55.96,,7.0,3,2021.0,6.0,pierwotny,553640.0,,https://www.otodom.pl/oferta/3-pokojowe-w-srodmiesciu-z-balkonem-6-pietro-ID3WZ52.html#e679aec94f
49.84,,7.0,2,2021.0,7.0,pierwotny,471148.0,,https://www.otodom.pl/oferta/dwupokojowe-w-centrum-z-balkonem-ID3WZ5a.html#e679aec94f
55.96,,7.0,3,2021.0,5.0,pierwotny,542448.0,,https://www.otodom.pl/oferta/ustawne-3-pokojowe-w-srodmiesciu-z-balkonem-ID3WZ5i.html#e679aec94f
43.72,,7.0,1,2021.0,7.0,pierwotny,458782.0,,https://www.otodom.pl/oferta/studio-na-ostatnim-pietrze-z-tarasem-ul-opolska-ID3WZ5y.html#e679aec94f
33.47,,7.0,1,2021.0,3.0,pierwotny,356250.5,,https://www.otodom.pl/oferta/praktyczne-studio-w-srodmiesciu-z-tarasem-14m2-ID3WZ5q.html#e679aec94f
33.47,,7.0,1,2021.0,6.0,pierwotny,366291.5,,https://www.otodom.pl/oferta/1-pok-apartament-w-srodmiesciu-z-duzym-balkonem-ID3WZ5u.html#e679aec94f
58.89,blok,2.0,3,,2.0,pierwotny,368062.5,,https://www.otodom.pl/oferta/okna-na-zachod-prywatna-loggia-apartament-58m2-ID3Rc1e.html#e679aec94f
49.0,blok,10.0,2,,9.0,wtórny,180000.0,,https://www.otodom.pl/oferta/katowice-giszowiec-2-pokoje-atrakcyjna-okolica-ID3V22A.html#e679aec94f
108.0,blok,16.0,4,,1.0,wtórny,550000.0,,https://www.otodom.pl/oferta/4-pokojowe-mieszkanie-katowice-osiedle-tysiaclecia-ID3WZSv.html#e679aec94f
48.5,blok,4.0,2,,3.0,wtórny,228750.0,,https://www.otodom.pl/oferta/cieple-sloneczne-mieszkanie-po-generalnym-remoncie-ID3V1wG.html#e679aec94f
39.0,,,2,,3.0,wtórny,214000.0,,https://www.otodom.pl/oferta/wysoki-standard-po-remoncie-ID3V1mE.html#e679aec94f
48.2,kamienica,4.0,1,,1.0,wtórny,285000.0,do zamieszkania,https://www.otodom.pl/oferta/industrialne-studio-w-samym-centrum-katowic-gotowe-ID3V09y.html#e679aec94f
77.54,blok,2.0,4,,2.0,pierwotny,492379.0,,https://www.otodom.pl/oferta/wyjatkowy-apartament-z-duzym-tarasem-katowice-ID3Rc16.html#e679aec94f
